dataset,model,seeds,transductive_mean,density_control_mean,inductive_mean,total_inflation_mean,total_inflation_std,density_cost_mean,density_cost_std,test_specific_mean,test_specific_std,total_resolved,density_resolved,test_specific_resolved,status
Cora,GCN,10,0.817199993133545,0.81460000872612,0.8142000019550324,0.0029999911785125732,0.011205140355123613,0.0025999844074249268,0.011587342099650256,0.0004000067710876465,0.004788863023701163,False,False,False,measured
Cora,GraphSAGE,10,0.8111999928951263,0.8005999982357025,0.7982000052928925,0.012999987602233887,0.01283224375341407,0.010599994659423828,0.013599022148568698,0.0023999929428100584,0.016405962252585178,True,True,False,measured
Cora,MLP,10,0.5703999996185303,0.5703999996185303,0.5703999996185303,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
Cora,LabelProp,10,0.5820000171661377,0.5820000171661377,0.5820000171661377,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
CiteSeer,GCN,10,0.690799993276596,0.6867999970912934,0.688400000333786,0.0023999929428100584,0.012212918405063031,0.0039999961853027345,0.013366623454953605,-0.0016000032424926757,0.014041200856877515,False,False,False,measured
CiteSeer,GraphSAGE,10,0.6929999947547912,0.6861999928951263,0.6879999876022339,0.005000007152557373,0.013638181899015668,0.006800001859664917,0.011282242779853121,-0.001799994707107544,0.013612072703795627,False,False,False,measured
CiteSeer,MLP,10,0.5330000042915344,0.5330000042915344,0.5330000042915344,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
CiteSeer,LabelProp,10,0.37599998712539673,0.37599998712539673,0.37599998712539673,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
PubMed,GCN,10,0.7892000019550324,0.790200001001358,0.7911999940872192,-0.00199999213218689,0.008894442864310419,-0.0009999990463256836,0.008755961673018547,-0.000999993085861206,0.00844590656342867,False,False,False,measured
PubMed,GraphSAGE,10,0.7708000123500824,0.7737999975681304,0.7715999901294708,-0.0007999777793884277,0.01042220262240068,-0.002999985218048096,0.012587467508169761,0.002200007438659668,0.008134957980975393,False,False,False,measured
PubMed,MLP,10,0.74760000705719,0.74760000705719,0.74760000705719,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
PubMed,LabelProp,10,0.44600000977516174,0.44600000977516174,0.44600000977516174,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
chameleon,GCN,10,0.38245613873004913,0.38771930038928987,0.3925438612699509,-0.010087722539901733,0.02507213960850365,-0.0052631616592407225,0.028931115306381934,-0.004824560880661011,0.045272086596541035,False,False,False,measured
chameleon,GraphSAGE,10,0.5157894730567932,0.5210526317358017,0.5157894730567932,0.0,0.027194555912151076,-0.0052631586790084835,0.03016093947206427,0.0052631586790084835,0.022630163309211766,False,False,False,measured
chameleon,MLP,10,0.510526317358017,0.510526317358017,0.510526317358017,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
chameleon,LabelProp,10,0.21929824948310853,0.21929824948310853,0.21929824948310853,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
squirrel,GCN,10,0.2651923045516014,0.26980769336223603,0.276346156001091,-0.011153851449489594,0.009056401989458175,-0.004615388810634613,0.016348044326046036,-0.00653846263885498,0.02164731784974859,True,False,False,measured
squirrel,GraphSAGE,10,0.37903846204280855,0.37711538672447203,0.3844230741262436,-0.005384612083435059,0.014890563671382083,0.0019230753183364867,0.01781082385082145,-0.007307687401771545,0.0139502231402,False,False,False,measured
squirrel,MLP,10,0.3634615331888199,0.3634615331888199,0.3634615331888199,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
squirrel,LabelProp,10,0.17288461774587632,0.17288461774587632,0.17288461774587632,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
