dataset,model,regime,seed,test_accuracy,test_accuracy_dedup,test_accuracy_nbr_covered,val_accuracy,epochs_run,split_index
Cora,GCN,transductive,0,0.8140000104904175,0.8140000104904175,0.8140000104904175,0.7940000295639038,111,0
Cora,GCN,density_control,0,0.8149999976158142,0.8149999976158142,0.8149999976158142,0.7599999904632568,111,0
Cora,GCN,inductive,0,0.8109999895095825,0.8109999895095825,0.8109999895095825,0.7620000243186951,112,0
Cora,GraphSAGE,transductive,0,0.8119999766349792,0.8119999766349792,0.8119999766349792,0.8019999861717224,226,0
Cora,GraphSAGE,density_control,0,0.7879999876022339,0.7879999876022339,0.7879999876022339,0.7319999933242798,190,0
Cora,GraphSAGE,inductive,0,0.7860000133514404,0.7860000133514404,0.7860000133514404,0.75,227,0
Cora,GCN,transductive,1,0.8230000138282776,0.8230000138282776,0.8230000138282776,0.7919999957084656,132,0
Cora,GCN,density_control,1,0.8019999861717224,0.8019999861717224,0.8019999861717224,0.7639999985694885,135,0
Cora,GCN,inductive,1,0.8019999861717224,0.8019999861717224,0.8019999861717224,0.7720000147819519,118,0
Cora,GraphSAGE,transductive,1,0.8040000200271606,0.8040000200271606,0.8040000200271606,0.7900000214576721,243,0
Cora,GraphSAGE,density_control,1,0.7739999890327454,0.7739999890327454,0.7739999890327454,0.7239999771118164,111,0
Cora,GraphSAGE,inductive,1,0.7940000295639038,0.7940000295639038,0.7940000295639038,0.75,110,0
Cora,GCN,transductive,2,0.8100000023841858,0.8100000023841858,0.8100000023841858,0.8019999861717224,106,0
Cora,GCN,density_control,2,0.8159999847412109,0.8159999847412109,0.8159999847412109,0.7480000257492065,158,0
Cora,GCN,inductive,2,0.7960000038146973,0.7960000038146973,0.7960000038146973,0.7639999985694885,131,0
Cora,GraphSAGE,transductive,2,0.8019999861717224,0.8019999861717224,0.8019999861717224,0.7919999957084656,117,0
Cora,GraphSAGE,density_control,2,0.7680000066757202,0.7680000066757202,0.7680000066757202,0.7360000014305115,214,0
Cora,GraphSAGE,inductive,2,0.7820000052452087,0.7820000052452087,0.7820000052452087,0.7400000095367432,110,0
Cora,GCN,transductive,3,0.8090000152587891,0.8090000152587891,0.8090000152587891,0.7919999957084656,109,0
Cora,GCN,density_control,3,0.8169999718666077,0.8169999718666077,0.8169999718666077,0.7599999904632568,200,0
Cora,GCN,inductive,3,0.800000011920929,0.800000011920929,0.800000011920929,0.7680000066757202,121,0
Cora,GraphSAGE,transductive,3,0.8090000152587891,0.8090000152587891,0.8090000152587891,0.7900000214576721,130,0
Cora,GraphSAGE,density_control,3,0.8029999732971191,0.8029999732971191,0.8029999732971191,0.7580000162124634,122,0
Cora,GraphSAGE,inductive,3,0.7950000166893005,0.7950000166893005,0.7950000166893005,0.75,253,0
Cora,GCN,transductive,4,0.8100000023841858,0.8100000023841858,0.8100000023841858,0.7900000214576721,110,0
Cora,GCN,density_control,4,0.8090000152587891,0.8090000152587891,0.8090000152587891,0.7459999918937683,111,0
Cora,GCN,inductive,4,0.8140000104904175,0.8140000104904175,0.8140000104904175,0.7580000162124634,112,0
Cora,GraphSAGE,transductive,4,0.7929999828338623,0.7929999828338623,0.7929999828338623,0.7960000038146973,109,0
Cora,GraphSAGE,density_control,4,0.7720000147819519,0.7720000147819519,0.7720000147819519,0.7300000190734863,110,0
Cora,GraphSAGE,inductive,4,0.7990000247955322,0.7990000247955322,0.7990000247955322,0.7459999918937683,109,0
Cora,GCN,transductive,5,0.8169999718666077,0.8169999718666077,0.8169999718666077,0.7960000038146973,112,0
Cora,GCN,density_control,5,0.8119999766349792,0.8119999766349792,0.8119999766349792,0.7739999890327454,111,0
Cora,GCN,inductive,5,0.7950000166893005,0.7950000166893005,0.7950000166893005,0.7680000066757202,113,0
Cora,GraphSAGE,transductive,5,0.8019999861717224,0.8019999861717224,0.8019999861717224,0.7879999876022339,172,0
