,Cora,CiteSeer,PubMed,chameleon,squirrel
exact_nodes_in_a_duplicate_group,0.009970457902511078,0.010519987977156597,0.00035502358370948926,0.16469038208168643,0.05095174004999039
exact_nodes_excluding_all_zero_rows,0.009970457902511078,0.006011421701232342,0.00035502358370948926,0.06236275801493193,0.019227071716977504
exact_redundant_copies,0.005908419497784343,0.007213706041478809,0.00020287061926256529,0.14361001317523056,0.04249182849452028
exact_duplicate_pairs_over_nodes,0.00812407680945347,0.03456567478208596,0.00025358827407820665,11.97364953886693,2.6164199192462987
exact_duplicate_pairs_over_nodes_excluding_zero_rows,0.00812407680945347,0.003005710850616171,0.00025358827407820665,0.103645147123408,0.014997115939242453
exact_and_same_label,0.009970457902511078,0.009317703636910129,0.00020287061926256529,0.032498902064119456,0.006729475100942127
exact_but_conflicting_label,0.0,0.0012022843402464682,0.00015215296444692398,0.13219148001756698,0.04422226494904826
exact_on_binarised_features,0.009970457902511078,0.010519987977156597,0.00035502358370948926,0.16469038208168643,0.05095174004999039
cosine_0.99,0.009970457902511078,0.006011421701232342,0.00035502358370948926,0.06236275801493193,0.019227071716977504
cosine_0.95,0.013663220088626292,0.012623985572587917,0.0010143530963128266,0.06236275801493193,0.019227071716977504
cosine_0.9,0.021787296898079764,0.025849113315299068,0.004716741897854643,0.06236275801493193,0.019227071716977504
cosine_0.8,0.04098966026587888,0.051698226630598136,0.05244205507937313,0.06938954765041722,0.020380696019996154
cosine_0.7,0.057976366322008865,0.0793507664562669,0.2372571892275701,0.13482652613087395,0.06806383387810036
jaccard_0.95,0.011447562776957163,0.009618274721971746,0.00035502358370948926,0.06236275801493193,0.019227071716977504
jaccard_0.8,0.024741506646971934,0.028854824165915238,0.0011665060607597504,0.06236275801493193,0.019227071716977504
jaccard_0.5,0.07016248153618906,0.0985873159002104,0.020591367855150377,0.1427316644707949,0.06960199961545857
identical_neighbour_set,0.0775480059084195,0.17643522693116923,0.4461124917583811,0.5709266578831796,0.4962507210151894
all_zero_feature_rows,0.0,0.004508566275924256,0.0,0.1023276240667545,0.03172466833301288
