dataset,model,seeds,transductive_mean,transductive_std,inductive_mean,inductive_std,inductive_nbr_covered_mean,inductive_nbr_covered_std,inflation_mean,inflation_std,inflation_stderr,inflation_dedup_mean,inflation_dedup_std,duplicate_component,resolved
CiteSeer,GCN,10,0.6924000024795532,0.006850794925052363,0.6854999899864197,0.007778172794796636,0.7354166626930236,0.012226954649358367,0.006900012493133545,0.012031896684914662,0.0038048198096159616,0.005549734830856324,0.012594988547587994,0.0013502776622772213,False
CiteSeer,GraphSAGE,10,0.6851000010967254,0.012948188408987388,0.6745999991893769,0.010543032072001909,0.7031250059604645,0.02263612301809878,0.010500001907348632,0.013533910198651352,0.004279798187592016,0.00973820686340332,0.013482617360054135,0.0007617950439453118,True
CiteSeer,LabelProp,10,0.3659999966621399,0.0,0.3659999966621399,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
CiteSeer,MLP,10,0.5269999980926514,0.009921923133830803,0.5269999980926514,0.009921923133830803,0.6041666626930237,0.03105649672572228,0.0,0.0,0.0,0.0,0.0,0.0,False
Cora,GCN,10,0.8129999995231628,0.007102422393839863,0.8025000035762787,0.006704054504482494,0.8611374497413635,0.009751221097341426,0.010499995946884156,0.0085796940227237,0.0027131374739139333,0.010584676265716552,0.008648889072035149,-8.468031883239642e-05,True
Cora,GraphSAGE,10,0.8041999936103821,0.006729703721560188,0.7888000071048736,0.00846955999965329,0.8445497572422027,0.009941318834701405,0.015399986505508423,0.009946527858022162,0.003145368284166592,0.015524196624755859,0.010026735876115973,-0.00012421011924743618,True
Cora,LabelProp,10,0.6029999852180481,0.0,0.6029999852180481,0.0,0.8009478449821472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Cora,MLP,10,0.5688999891281128,0.00817108148890972,0.5688999891281128,0.00817108148890972,0.6232227385044098,0.021106456846398454,0.0,0.0,0.0,0.0,0.0,0.0,False
PubMed,GCN,10,0.7862000107765198,0.006892846400072292,0.7832000136375428,0.006442908099912778,0.7894737124443054,0.0,0.0029999971389770507,0.0120000116251214,0.003794736868388225,0.0029029011726379394,0.011791711118481102,9.709596633911133e-05,False
PubMed,GraphSAGE,10,0.7679999947547913,0.008615224080260794,0.7673000037670136,0.008512080383801733,0.7368420958518982,0.0,0.0006999909877777099,0.011870135094502217,0.0037536663032525035,0.0007007062435150146,0.011882015163193923,-7.152557373046875e-07,False
PubMed,LabelProp,10,0.41999998688697815,0.0,0.41999998688697815,0.0,0.7368420958518982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
PubMed,MLP,10,0.725299996137619,0.004473375523348916,0.725299996137619,0.004473375523348916,0.6842105388641357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
chameleon,GCN,10,0.3756578952074051,0.02797043596033063,0.40043859779834745,0.02578658394805851,0.36238203644752504,0.0498211648524309,-0.024780702590942384,0.020469140959908576,0.006472910718035642,-0.0322920560836792,0.026627560528112697,0.0075113534927368185,True
chameleon,GraphSAGE,10,0.5160087734460831,0.01595008608165301,0.5098684191703796,0.017459900600157233,0.42565113604068755,0.03664275193334456,0.00614035427570343,0.012944992214969038,0.004093565969245017,-0.001569458842277527,0.018906404061087477,0.007709813117980958,False
chameleon,LabelProp,10,0.21820175498723984,0.015342172698016165,0.21820175498723984,0.015342172698016165,0.3160437524318695,0.03090028720208427,0.0,0.0,0.0,0.0,0.0,0.0,False
chameleon,MLP,10,0.5054824560880661,0.030250268230434807,0.5054824560880661,0.030250268230434807,0.4022963911294937,0.03379506343734923,0.0,0.0,0.0,0.0,0.0,0.0,False
squirrel,GCN,10,0.2619596555829048,0.014484101663959838,0.2738712802529335,0.01784808118180859,0.27833323627710344,0.02326294396894649,-0.011911624670028686,0.012793776716731512,0.004045747430050242,-0.016235829889774324,0.022936321595084762,0.004324205219745638,True
squirrel,GraphSAGE,10,0.3740634024143219,0.02060388916300168,0.37281460165977476,0.01887009674909132,0.3714581400156021,0.03163349292184494,0.0012488007545471192,0.0093470218176875,0.0029557878283179616,0.008808931708335877,0.010156070389714871,-0.007560130953788758,False
squirrel,LabelProp,10,0.17829010784626007,0.013366013783651797,0.17829010784626007,0.013366013783651797,0.278351953625679,0.016572129026740122,0.0,0.0,0.0,0.0,0.0,0.0,False
squirrel,MLP,10,0.36234389543533324,0.017384505175344952,0.36234389543533324,0.017384505175344952,0.35583425462245943,0.02582874323425922,0.0,0.0,0.0,0.0,0.0,0.0,False
