dataset,model,seeds,transductive_mean,density_control_mean,inductive_mean,total_inflation_mean,total_inflation_std,density_cost_mean,density_cost_std,test_specific_mean,test_specific_std,total_resolved,density_resolved,test_specific_resolved,status
Cora,GCN,10,0.8107999980449676,0.8064000010490417,0.8114000082015991,-0.0006000101566314697,0.016601209735719685,0.004399996995925903,0.017302530011095413,-0.005000007152557373,0.019026294900461444,False,False,False,measured
Cora,GraphSAGE,10,0.796399998664856,0.7866000056266784,0.7956000030040741,0.0007999956607818604,0.01660522691254527,0.00979999303817749,0.021570558359588446,-0.00899999737739563,0.025737992317152465,False,False,False,measured
Cora,MLP,10,0.5712000012397767,0.5712000012397767,0.5712000012397767,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
Cora,LabelProp,10,0.6025999963283539,0.6025999963283539,0.6025999963283539,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
CiteSeer,GCN,10,0.6706000030040741,0.6726000070571899,0.664599996805191,0.006000006198883056,0.014966633327826568,-0.0020000040531158447,0.01866665979226893,0.008000010251998901,0.012328820760533718,False,False,True,measured
CiteSeer,GraphSAGE,10,0.660400003194809,0.6575999975204467,0.6568000078201294,0.0035999953746795655,0.022026254683972228,0.002800005674362183,0.011669535758254001,0.0007999897003173828,0.020681713826343817,False,False,False,measured
CiteSeer,MLP,10,0.5320000052452087,0.5320000052452087,0.5320000052452087,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
CiteSeer,LabelProp,10,0.34079999923706056,0.34079999923706056,0.34079999923706056,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
PubMed,GCN,10,0.7794000029563903,0.7803999960422516,0.7861999928951263,-0.006799989938735962,0.015497655843058258,-0.000999993085861206,0.010718623248009197,-0.005799996852874756,0.010304251171937243,False,False,False,measured
PubMed,GraphSAGE,10,0.7588000059127807,0.7574000000953675,0.7611999988555909,-0.0023999929428100584,0.01453883664231974,0.0014000058174133301,0.011315681574981829,-0.0037999987602233888,0.013079251239344433,False,False,False,measured
PubMed,MLP,10,0.7069999933242798,0.7069999933242798,0.7069999933242798,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
PubMed,LabelProp,10,0.4689999997615814,0.4689999997615814,0.4689999997615814,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
chameleon,GCN,10,0.3358000010251999,0.33680000007152555,0.3354000002145767,0.0004000008106231689,0.018851458730115837,-0.0009999990463256836,0.018553229529137634,0.0013999998569488525,0.018404106306320334,False,False,False,measured
chameleon,GraphSAGE,10,0.39519999623298646,0.4000000059604645,0.3869999945163727,0.00820000171661377,0.013079243542746543,-0.0048000097274780275,0.012550340533700338,0.013000011444091797,0.01975966844632245,False,False,True,measured
chameleon,MLP,10,0.3857999950647354,0.3857999950647354,0.3857999950647354,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
chameleon,LabelProp,10,0.20819999873638154,0.20819999873638154,0.20819999873638154,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
squirrel,GCN,10,0.21480000168085098,0.21700000017881393,0.21320000141859055,0.001600000262260437,0.01735383172294026,-0.0021999984979629516,0.013806600690428885,0.0037999987602233888,0.011564315854472542,False,False,False,measured
squirrel,GraphSAGE,10,0.2788000002503395,0.2777999997138977,0.2798000007867813,-0.001000000536441803,0.013572844138434728,0.001000000536441803,0.014275074292914018,-0.002000001072883606,0.019043804961275695,False,False,False,measured
squirrel,MLP,10,0.2714000016450882,0.2714000016450882,0.2714000016450882,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
squirrel,LabelProp,10,0.17360000014305116,0.17360000014305116,0.17360000014305116,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,measured
