dataset,model,regime,seed,test_accuracy,test_accuracy_dedup,test_accuracy_nbr_covered,val_accuracy,epochs_run,split_index
Cora,GCN,transductive,0,0.8240000009536743,0.8240000009536743,0.8240000009536743,0.7960000038146973,110,0
Cora,GCN,density_control,0,0.8339999914169312,0.8339999914169312,0.8339999914169312,0.7599999904632568,112,0
Cora,GCN,inductive,0,0.8240000009536743,0.8240000009536743,0.8240000009536743,0.7799999713897705,191,0
Cora,GraphSAGE,transductive,0,0.8059999942779541,0.8059999942779541,0.8059999942779541,0.7919999957084656,300,0
Cora,GraphSAGE,density_control,0,0.7879999876022339,0.7879999876022339,0.7879999876022339,0.7379999756813049,109,0
Cora,GraphSAGE,inductive,0,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.7699999809265137,300,0
Cora,MLP,transductive,0,0.5960000157356262,0.5960000157356262,0.5960000157356262,0.5759999752044678,106,0
Cora,MLP,density_control,0,0.5960000157356262,0.5960000157356262,0.5960000157356262,0.5759999752044678,106,0
Cora,MLP,inductive,0,0.5960000157356262,0.5960000157356262,0.5960000157356262,0.5759999752044678,106,0
Cora,LabelProp,transductive,0,0.5659999847412109,0.5659999847412109,0.5659999847412109,0.5640000104904175,0,0
Cora,LabelProp,density_control,0,0.5659999847412109,0.5659999847412109,0.5659999847412109,0.5640000104904175,0,0
Cora,LabelProp,inductive,0,0.5659999847412109,0.5659999847412109,0.5659999847412109,0.5640000104904175,0,0
Cora,GCN,transductive,1,0.8479999899864197,0.8479999899864197,0.8479999899864197,0.800000011920929,119,1
Cora,GCN,density_control,1,0.8360000252723694,0.8360000252723694,0.8360000252723694,0.7860000133514404,110,1
Cora,GCN,inductive,1,0.8320000171661377,0.8320000171661377,0.8320000171661377,0.7680000066757202,111,1
Cora,GraphSAGE,transductive,1,0.8420000076293945,0.8420000076293945,0.8420000076293945,0.8059999942779541,113,1
Cora,GraphSAGE,density_control,1,0.8119999766349792,0.8119999766349792,0.8119999766349792,0.7519999742507935,109,1
Cora,GraphSAGE,inductive,1,0.8379999995231628,0.8379999995231628,0.8379999995231628,0.7559999823570251,111,1
Cora,MLP,transductive,1,0.6340000033378601,0.6340000033378601,0.6340000033378601,0.5659999847412109,125,1
Cora,MLP,density_control,1,0.6340000033378601,0.6340000033378601,0.6340000033378601,0.5659999847412109,125,1
Cora,MLP,inductive,1,0.6340000033378601,0.6340000033378601,0.6340000033378601,0.5659999847412109,125,1
Cora,LabelProp,transductive,1,0.5920000076293945,0.5920000076293945,0.5920000076293945,0.5239999890327454,0,1
Cora,LabelProp,density_control,1,0.5920000076293945,0.5920000076293945,0.5920000076293945,0.5239999890327454,0,1
Cora,LabelProp,inductive,1,0.5920000076293945,0.5920000076293945,0.5920000076293945,0.5239999890327454,0,1
Cora,GCN,transductive,2,0.7839999794960022,0.7839999794960022,0.7839999794960022,0.8140000104904175,116,2
Cora,GCN,density_control,2,0.8019999861717224,0.8019999861717224,0.8019999861717224,0.8080000281333923,104,2
Cora,GCN,inductive,2,0.8040000200271606,0.8040000200271606,0.8040000200271606,0.8100000023841858,106,2
Cora,GraphSAGE,transductive,2,0.765999972820282,0.765999972820282,0.765999972820282,0.8159999847412109,113,2
Cora,GraphSAGE,density_control,2,0.7720000147819519,0.7720000147819519,0.7720000147819519,0.7839999794960022,115,2
Cora,GraphSAGE,inductive,2,0.7820000052452087,0.7820000052452087,0.7820000052452087,0.7820000052452087,113,2
Cora,MLP,transductive,2,0.5659999847412109,0.5659999847412109,0.5659999847412109,0.621999979019165,130,2
