dataset,model,regime,seed,test_accuracy,test_accuracy_dedup,test_accuracy_nbr_covered,val_accuracy,epochs_run,split_index
Cora,GCN,transductive,0,0.8140000104904175,0.8125,0.8578199148178101,0.7940000295639038,111,0
Cora,GCN,inductive,0,0.8109999895095825,0.8094757795333862,0.8672986030578613,0.7620000243186951,112,0
Cora,GraphSAGE,transductive,0,0.8119999766349792,0.8104838728904724,0.8578199148178101,0.8019999861717224,226,0
Cora,GraphSAGE,inductive,0,0.7860000133514404,0.7842742204666138,0.8483412265777588,0.75,227,0
Cora,MLP,transductive,0,0.5730000138282776,0.569556474685669,0.6350710988044739,0.5720000267028809,124,0
Cora,MLP,inductive,0,0.5730000138282776,0.569556474685669,0.6350710988044739,0.5720000267028809,124,0
Cora,LabelProp,transductive,0,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,LabelProp,inductive,0,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,GCN,transductive,1,0.8230000138282776,0.8215726017951965,0.8530805706977844,0.7919999957084656,132,0
Cora,GCN,inductive,1,0.8019999861717224,0.8004032373428345,0.8672986030578613,0.7720000147819519,118,0
Cora,GraphSAGE,transductive,1,0.8040000200271606,0.8024193644523621,0.8578199148178101,0.7900000214576721,243,0
Cora,GraphSAGE,inductive,1,0.7940000295639038,0.7923387289047241,0.8625592589378357,0.75,110,0
Cora,MLP,transductive,1,0.5600000023841858,0.5564516186714172,0.6113743782043457,0.5960000157356262,122,0
Cora,MLP,inductive,1,0.5600000023841858,0.5564516186714172,0.6113743782043457,0.5960000157356262,122,0
Cora,LabelProp,transductive,1,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,LabelProp,inductive,1,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,GCN,transductive,2,0.8100000023841858,0.8084677457809448,0.8388625383377075,0.8019999861717224,106,0
